Sample	num_fragments	PE/SE	perc_reads_aligned
OSD1	1054096	PE	0.01
OSD10	1080279	PE	0.01
OSD100	1326984	PE	0.02
OSD101	1154227	PE	0.03
OSD102	659225	PE	0.05
OSD103	1202212	PE	0.03
OSD105	1440765	PE	0.17
OSD106-0	1064254	PE	0.03
OSD106-15	1437571	PE	0.03
OSD107	883110	PE	0.03
OSD108	938162	PE	0.03
OSD109	929805	PE	0.02
OSD110	1311996	PE	0.03
OSD111	1522835	PE	0.02
OSD113	1187223	PE	0.03
OSD114	993189	PE	0.03
OSD115	1050843	PE	0.03
OSD116	1082235	PE	0.02
OSD117	1072444	PE	0.02
OSD118	1083095	PE	0.03
OSD122	1394470	PE	0.04
OSD123	1190201	PE	0.02
OSD124	1045275	PE	0.85
OSD125	1086012	PE	0.04
OSD126	2007669	PE	0.03
OSD127	1049596	PE	0.02
OSD128	1156692	PE	0.02
OSD129	1277932	PE	0.04
OSD13	1147632	PE	0.08
OSD130	1183894	PE	0.02
OSD131	569074	PE	0.02
OSD132	1260026	PE	0.02
OSD133	1702695	PE	0.17
OSD14	1074205	PE	0.01
OSD141	1444751	PE	0.12
OSD142	1268340	PE	0.03
OSD143	1426578	PE	0.02
OSD144	959595	PE	0.02
OSD145	1610966	PE	0.02
OSD146	1547784	PE	0.20
OSD147	1334084	PE	0.07
OSD148	1209281	PE	0.02
OSD149	1185409	PE	0.01
OSD150	954030	PE	0.02
OSD15-0	938207	PE	0.01
OSD151	147325	PE	0.34
OSD152-1	1231827	PE	0.04
OSD152-5	2147780	PE	0.03
OSD153	2197759	PE	0.03
OSD154	2170231	PE	0.02
OSD155	2195792	PE	0.01
OSD15-50	924092	PE	0.11
OSD156	2259913	PE	0.02
OSD157	2429091	PE	0.02
OSD158	2549378	PE	0.02
OSD159	1676120	PE	0.02
OSD162	1998924	PE	0.05
OSD163	2211344	PE	0.03
OSD164	1632186	PE	0.04
OSD165	2495795	PE	0.03
OSD166	2520820	PE	0.03
OSD167	2689087	PE	0.05
OSD168	3213436	PE	0.01
OSD169	1753038	PE	0.03
OSD17	837506	PE	0.01
OSD170	2115871	PE	0.01
OSD171	1863360	PE	0.02
OSD172	3892674	PE	0.00
OSD173	2208992	PE	0.02
OSD174	808487	PE	0.02
OSD175	814807	PE	0.04
OSD176	1104185	PE	0.01
OSD177	810387	PE	0.02
OSD178	890154	PE	0.02
OSD18	1098515	PE	0.18
OSD182	1419443	PE	0.01
OSD183	1003156	PE	0.05
OSD184	1350976	PE	0.01
OSD185	1093072	PE	0.02
OSD186	876551	PE	0.02
OSD19	1512017	PE	0.02
OSD2	978081	PE	0.02
OSD20-0	985490	PE	0.01
OSD20-20	1058477	PE	0.02
OSD21	876042	PE	0.01
OSD22	601873	PE	0.01
OSD24	1469948	PE	0.01
OSD25	1524912	PE	0.04
OSD26	1252579	PE	0.04
OSD28	828380	PE	0.04
OSD29	1408435	PE	0.02
OSD3	929633	PE	0.02
OSD30	1578582	PE	0.01
OSD34	1193837	PE	0.01
OSD35	1545753	PE	0.01
OSD36	1458970	PE	0.03
OSD37	1639623	PE	0.02
OSD38	1282987	PE	0.02
OSD39	1487040	PE	0.03
OSD4	1156719	PE	0.02
OSD41	65937	PE	0.00
OSD42	1186452	PE	0.00
OSD43	1193666	PE	0.01
OSD45	1400278	PE	0.02
OSD46	511010	PE	0.01
OSD47	1273415	PE	0.01
OSD48	979085	PE	0.00
OSD49	1361126	PE	0.01
OSD50	1440731	PE	0.01
OSD51	1478579	PE	0.02
OSD5-1	962714	PE	0.01
OSD52	2784782	PE	0.03
OSD53	1500574	PE	0.03
OSD54	1334725	PE	0.01
OSD55	1435771	PE	0.02
OSD56	1591374	PE	0.01
OSD57	1102444	PE	0.01
OSD5-75	836526	PE	0.50
OSD58	1235324	PE	0.01
OSD6	824184	PE	0.01
OSD60	1402406	PE	0.02
OSD61	1330321	PE	0.01
OSD62	1310774	PE	0.01
OSD63	999104	PE	0.02
OSD64	1199113	PE	0.01
OSD65	1608978	PE	0.66
OSD69	1151638	PE	0.01
OSD7	2194847	PE	0.02
OSD70	1163672	PE	0.01
OSD71	1141446	PE	1.70
OSD72	1254116	PE	0.01
OSD73	1149852	PE	0.03
OSD74	1247179	PE	0.02
OSD76	1067269	PE	0.02
OSD77	1087770	PE	0.01
OSD78	1215082	PE	0.02
OSD80-0	1442142	PE	0.03
OSD80-2	1102976	PE	0.13
OSD81	1281107	PE	0.02
OSD9	842193	PE	0.01
OSD90	1442630	PE	0.01
OSD91	1424231	PE	0.02
OSD92	1446509	PE	0.02
OSD93	1151860	PE	0.02
OSD94	1339269	PE	0.02
OSD95	1242413	PE	0.89
OSD96	2954465	PE	0.00
OSD97	1243027	PE	0.09
OSD98	1390178	PE	0.07
OSD99	910076	PE	0.02
TARA_004_40m_0.22-1.6_prok	238146548	PE	0.55
TARA_004_5m_0.22-1.6_prok	202168446	PE	0.03
