AT04-0m-8Ar	SRR10912837	SRR10912836
B08-0m-8Ar	SRR10912802	SRR10912801
BB08-0m-8Ar	SRR10912846	SRR10912845
G02-7Ar	SRR10912848	SRR10912847
ICE04-0m-9Ar	SRR10912898	SRR10912897
K3-8Ar	SRR10912900	SRR10912899
N02-0m-8Ar	SRR10912809	SRR10912808
N04-0m-8Ar	SRR10912815	SRR10912814
N07-0m-8Ar	SRR10912824	SRR10912823
P06-0m-8Ar	SRR10912828	SRR10912827
UW012-0m-8Ar	SRR10912789	SRR10912788
UW022-8Ar	SRR10912787	SRR10912786
UW023-8Ar	SRR10912902	SRR10912901
UW024-9Ar	SRR10912883	SRR10912882
LB01-5m-8Ar	SRR10912795	SRR10912794
ICE04-100m-9Ar	SRR10912896	SRR10912895
AT04-300m-8Ar	SRR10912835	SRR10912834
BB08-300m-8Ar	SRR10912844	SRR10912843
LB01-300m-8Ar	SRR10912793	SRR10912792
N04-300m-8Ar	SRR10912813	SRR10912812
N07-300m-8Ar	SRR10912822	SRR10912821
P06-300m-8Ar	SRR10912826	SRR10912825
R16E-300m-9Ar	SRR10912889	SRR10912888
N02-500m-8Ar	SRR10912806	SRR10912805
AT04-1000m-8Ar	SRR10912833	SRR10912832
B08-1000m-8Ar	SRR10912800	SRR10912799
BB08-1000m-8Ar	SRR10912842	SRR10912841
ICE04-1000m-9Ar	SRR10912894	SRR10912893
LB01-1000m-8Ar	SRR10912791	SRR10912790
N07-1000m-8Ar	SRR10912820	SRR10912819
R16E-1000m-9Ar	SRR10912887	SRR10912886
N02-1500m-8Ar	SRR10912804	SRR10912803
ICE04-2280m-9Ar	SRR10912891	SRR10912890
AT04-3000m-8Ar	SRR10912831	SRR10912830
B08-3200m-8Ar	SRR10912798	SRR10912797
R16E-3236m-9Ar	SRR10912885	SRR10912884
BB08-3300m-8Ar	SRR10912839	SRR10912838
N04-3800m-8Ar	SRR10912811	SRR10912810
N07-3800m-8Ar	SRR10912817	SRR10912816
A3-09-0m-34An	SRR10912864	SRR10912863
A4-07-0m-34An	SRR10912881	SRR10912880
A5-10-0m-34An	SRR10912872	SRR10912871
UW042-0m-34An	SRR10912850	SRR10912849
UW044-0m-34An	SRR10912853	SRR10912852
UW048-33An	SRR10912905	SRR10912904
UW050-0m-34An	SRR10912855	SRR10912854
UW051-33An	SRR10912873	SRR10912862
UW056-33An	SRR10912851	SRR10912840
UW064-33An	SRR10912829	SRR10912818
UW072-33An	SRR10912807	SRR10912796
UW073-33An	SRR10912903	SRR10912892
A3-09-300m-34An	SRR10912861	SRR10912860
A4-07-300m-34An	SRR10912879	SRR10912878
A5-10-300m-34An	SRR10912870	SRR10912869
A3-09-1000m-34An	SRR10912859	SRR10912858
A4-07-1000m-34An	SRR10912877	SRR10912876
A5-10-1000m-34An	SRR10912868	SRR10912867
A4-07-3000m-34An	SRR10912875	SRR10912874
A3-09-3500m-34An	SRR10912857	SRR10912856
A5-10-3500m-34An	SRR10912866	SRR10912865
